,title,company,estimated salary,salary,summary
42,newFull Stack Software Engineer (Remote or On-site),Tevera,,"$90,000 - $115,000 a year","Optional but desirable: Experience building responsive/mobile first web applications.$90,000 - $115,000 salaried exempt.In-office and/or Remote."
43,new.NET Developer - Software Engineer,TEKsystems,,,"In addition, developers will be creating new modules in .NET web applications, interfaces, data feeds, etc.In the Employee Compliance Technology space, we are…"
44,newRuby on Rails Developer,Robert Half,,$55 - $65 an hour,"5+ years of experience developing, testing, shipping, and supporting production-quality web applications Expert-level knowledge of Ruby on Rails Expert-level…"
45,newLead Web Developer,Infra Space Solutions,Estimated $110K – $139K a year,,Strong bonus program as well.O Work with Business Analysts to ensure quality user stories.O Run stand-ups and other scrum/sprint ceremonies.
46,newWeb & Graphic Designer,NorthWing Digital,,"$50,000 - $60,000 a year",Communicate design changes to web developers and review for proper design and layout before sending to client for final approval.Web design: 1 year (Required).
47,newIT Developer,RPO International,,Up to $85 an hour,"Design and develop web API, ASP.Working closely with Product Owner to define and discuss solution.Automating build and deployment using Jenkins CI/CD pipeline…"
48,newFront End Developer,Queue-it,Estimated $77.5K – $98.1K a year,,"Enthusiasm for the web, new technology, and design trends.Using HTML5, responsive design, and mobile UX principles, you will design Queue-it customer queue…"
49,newConstruction Project Engineer/Estimator,Kevitt Companies,,"$45,000 - $65,000 a year","Microsoft Office, project and pertinent web application skills at an intermediate level.Project Engineers are involved in estimating, buyout, submittals, and…"
50,newFront End Developer,Robert Half,,$47.50 - $55.00 an hour,Architect dynamic data-driven web experiences using various web-based APIs.Guide web engineers to help them develop their technical proficiencies.
51,newFront End Developer IV,pearlsoftsolutions,Estimated $102K – $129K a year,,Developing front end web applications.Strong social and communication skills · Strong HTML/CSS skills · 3+ years utilizing RESTful APIs in front end web…
52,newFull Stack Software Engineer (Remote or On-site),Tevera,,"$90,000 - $115,000 a year","Optional but desirable: Experience building responsive/mobile first web applications.$90,000 - $115,000 salaried exempt.In-office and/or Remote."
53,"newREMOTE Frontend Developer - FinTech Startup, Mobile Applicat...",CyberCoders,,"$110,000 - $140,000 a year",Currently we are in need of a REMOTE Frontend Developer that has 3+ years of experience with React and mobile applications and comes from a software engineering…
54,newDeveloper (Specialty) II (contract),Best Buy,Estimated $64.6K – $81.8K a year,,"Building clients and servers for web APIs in any programming language.As a Junior developer, the candidate will learn how to build automation scripts with…"
55,newLead Web Developer - Remote React + Lead of small dev team i...,Infraspace Technology Corp.,Estimated $136K – $173K a year,,Strong bonus program as well.O Work with Business Analysts to ensure quality user stories.O Run stand-ups and other scrum/sprint ceremonies.
56,newFull Stack .Net Developer,Insight Global,Estimated $96K – $122K a year,,"This candidate will be a heads down developer - 80% development / 20% Scrum Meetings.They will be responsible for developing, analysis once production support…"
57,newSoftware Developer,Robert Half,,$55 - $65 an hour,Exposure to public facing high-traffic web sites.Experience in web front-end development including JavaScript and front-end frameworks.
58,"newPrincipal SIEM Engineer (Remote, USA)",Optiv,Estimated $103K – $131K a year,,"Understanding of monitoring devices such as firewalls, network and host-based intrusion detection systems, web applications, AV, WAF, Proxy and operating system…"
59,newSoftware Developer (Work Remotely!),Taylor Corporation,Estimated $90.1K – $114K a year,,The platform enforces a wide variety of business rules and features a high level of integration with multiple client-provided and third-party systems.
